action,freq,pr_yr,pr_mt
merged,22945,2012,1
merged,32413,2012,4
merged,83997,2013,5
merged,1889,2010,10
merged,9245,2011,7
merged,26832,2012,2
merged,82275,2013,4
merged,34408,2012,6
merged,45933,2012,12
merged,73534,2013,3
merged,590034,2016,9
merged,136998,2015,11
merged,261681,2015,7
merged,8633,2011,6
merged,336914,2016,6
merged,66730,2014,4
merged,178638,2014,9
merged,2993,2011,1
merged,73923,2015,5
merged,39302,2014,7
merged,85586,2015,3
merged,29499,2014,3
merged,65116,2014,5
merged,48629,2014,8
merged,530287,2016,8
merged,645391,2017,2
opened,65491,2012,7
opened,55037,2012,4
opened,37994,2012,1
opened,19536,2011,8
opened,147842,2013,8
opened,16084,2011,7
opened,22220,2011,10
opened,45542,2012,2
opened,177763,2013,11
opened,176036,2013,10
opened,361479,2015,2
opened,841457,2017,1
opened,667220,2016,12
opened,851294,2016,11
opened,785158,2016,3
opened,926174,2017,5
opened,891451,2017,7
opened,557401,2015,10
opened,613705,2016,1
opened,234985,2014,6
opened,248989,2014,8
opened,414926,2015,5
opened,65067,2012,9
opened,67730,2012,11
opened,126003,2013,6
opened,10546,2011,3
opened,471519,2016,6
opened,417083,2015,3
opened,6980,2011,1
opened,237222,2014,3
opened,540704,2015,12
opened,426426,2015,8
opened,906735,2017,6
opened,855422,2016,10
opened,88,2010,8
reopened,12780,2017,1
reopened,15595,2017,7
reopened,13244,2017,5
reopened,5261,2015,1
reopened,12751,2017,2
reopened,6912,2016,6
reopened,6632,2015,3
reopened,6418,2015,8
reopened,14069,2017,4
reopened,13774,2016,10
reopened,543,2012,3
reopened,3786,2016,7
reopened,1060,2012,7
reopened,410,2012,10
reopened,5987,2015,5
reopened,938,2012,9
reopened,1695,2013,3
reopened,1809,2013,6
reopened,1979,2013,7
reopened,2306,2013,8
reopened,1992,2013,9
reopened,6370,2015,6
reopened,177,2012,11
reopened,2704,2014,4
synchronize,155464,2012,2
synchronize,282360,2012,4
synchronize,10823,2012,10
